LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,8,1,4,521964,28145280,158649,19771322,8886341,37973386,76846613,172303555
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,8,1,4,401231,28484778,77620,19761936,8890653,37688070,69839303,165143591
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,8,1,4,325631,22739187,61939,15810514,7122902,30577422,63932203,140569798
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,8,1,4,324481,22765079,62018,15794696,7121236,30420890,59239105,135727505
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,8,1,4,248791,17054403,46556,11885599,5316615,23223857,51054699,108830520
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,244823,17055856,46574,11863142,5320243,22669383,42829825,100029846
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,8,1,4,246644,17058897,46573,11866488,5329264,22326379,34829815,91704060
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,8,1,4,165506,11371070,31152,7905746,3549485,15181638,29921361,68125958
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,8,1,4,165533,11278386,31161,7896720,3551438,14583916,17969429,55476583
1.00,65.00,1.00,32.00,1.00,32.00,0.85,1024,1024,1024,1024,4,8,8,1,4,87618,5687691,15671,3952622,1774053,7724803,17004767,36247225
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,8,1,4,88087,5698673,15671,3969871,1776669,7461906,12912449,31923326
1.00,65.00,1.00,32.00,1.00,32.00,0.95,1024,1024,1024,1024,4,8,8,1,4,87200,5686532,15650,3948869,1775784,7196413,8816012,27526460
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,16,1,4,86818,2835902,15453,3948641,1775655,5007690,9884839,23554998
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,16,1,4,86628,2862878,15511,3949341,1777947,5032362,9203285,22927952
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,16,1,4,48757,1432737,7860,1974346,955310,3032464,8502024,15953498
1.00,65.00,1.00,32.00,1.00,32.00,0.30,512,512,512,512,8,16,16,1,4,48697,1434738,7903,1979685,885323,2917570,7455425,14729341
1.00,65.00,1.00,32.00,1.00,32.00,0.40,512,512,512,512,8,16,16,1,4,47735,1434145,7940,1987026,894691,2750700,6454543,13576780
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,48555,1433760,7980,1974626,890703,2614191,5477739,12447554
1.00,65.00,1.00,32.00,1.00,32.00,0.60,512,512,512,512,8,16,16,1,4,47944,1434289,7841,1974617,887720,2617883,5479420,12449714
1.00,65.00,1.00,32.00,1.00,32.00,0.70,512,512,512,512,8,16,16,1,4,48162,1433351,7930,1974623,887383,2469199,4409459,11230107
1.00,65.00,1.00,32.00,1.00,32.00,0.80,512,512,512,512,8,16,16,1,4,48554,1420595,7860,1974389,890819,2303857,3446215,10092289
1.00,65.00,1.00,32.00,1.00,32.00,0.85,512,512,512,512,8,16,16,1,4,47937,1432203,7870,1984617,887832,2153330,2455743,8969532
1.00,65.00,1.00,32.00,1.00,32.00,0.90,512,512,512,512,8,16,16,1,4,48085,1441124,7903,1993755,887336,2151695,2455976,8985874
1.00,65.00,1.00,32.00,1.00,32.00,0.95,512,512,512,512,8,16,16,1,4,48587,1434618,7971,1974837,887263,1992448,1382209,7727933
0.66,43.00,0.31,10.00,1.00,32.00,0.00,256,256,256,256,5,32,32,1,4,28462,362510,4040,987371,443597,943136,1471815,4240931
0.66,43.00,0.31,10.00,1.00,32.00,0.10,256,256,256,256,5,32,32,1,4,27923,365737,4071,987031,444069,953907,1470754,4253492
0.66,43.00,0.31,10.00,1.00,32.00,0.20,256,256,256,256,5,32,32,1,4,27883,366258,4031,988132,443837,870860,1236978,3937979
0.66,43.00,0.31,10.00,1.00,32.00,0.30,256,256,256,256,5,32,32,1,4,27721,366120,4040,987482,443886,876131,1227238,3932618
0.66,43.00,0.31,10.00,1.00,32.00,0.40,256,256,256,256,5,32,32,1,4,28161,365867,4010,987492,463310,801092,981066,3630998
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,27754,366187,4170,987382,452198,800761,980454,3618906
