LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.62,40.00,0.25,8.00,1.00,32.00,0.00,1024,1024,1024,1024,1,8,8,1,4,1432684,100857762,347465,71281480,31938445,113943666,89188473,408989975
0.62,40.00,0.25,8.00,1.00,32.00,0.10,1024,1024,1024,1024,1,8,8,1,4,1341761,96086945,261364,67243080,30140674,107481835,84343873,386899532
0.62,40.00,0.25,8.00,1.00,32.00,0.20,1024,1024,1024,1024,1,8,8,1,4,1183867,84796325,230477,59596912,26592398,94800609,74418732,341619320
0.62,40.00,0.25,8.00,1.00,32.00,0.30,1024,1024,1024,1024,1,8,8,1,4,1101121,79144407,215228,55394040,24806582,88792270,68898186,318351834
0.62,40.00,0.25,8.00,1.00,32.00,0.40,1024,1024,1024,1024,1,8,8,1,4,947711,67860304,184493,47464941,21275919,76042731,59386943,273163042
0.62,40.00,0.25,8.00,1.00,32.00,0.50,1024,1024,1024,1024,1,8,8,1,4,789170,56541221,153682,39564241,17718630,63375779,49492372,227635095
0.62,40.00,0.25,8.00,1.00,32.00,0.60,1024,1024,1024,1024,1,8,8,1,4,634259,45236952,123033,31656536,14176987,50897874,39602140,182327781
0.62,40.00,0.25,8.00,1.00,32.00,0.70,1024,1024,1024,1024,1,8,8,1,4,555737,39575178,107642,27693304,12410162,44377323,34075352,158794698
0.62,40.00,0.25,8.00,1.00,32.00,0.80,1024,1024,1024,1024,1,8,8,1,4,400019,28039405,76973,19786696,8850148,31619644,24778615,113551500
0.62,40.00,0.25,8.00,1.00,32.00,0.85,1024,1024,1024,1024,1,8,8,1,4,321734,22611882,61534,16053676,7110721,25302596,19844097,91306240
0.62,40.00,0.25,8.00,1.00,32.00,0.90,1024,1024,1024,1024,1,8,8,1,4,243841,16960539,46184,11867714,5335942,18973464,14889739,68317423
0.62,40.00,0.25,8.00,1.00,32.00,0.95,1024,1024,1024,1024,1,8,8,1,4,166497,11313574,30897,7908996,3548543,12680914,9896098,45545519
0.56,36.00,0.12,4.00,1.00,32.00,0.00,512,512,512,512,1,16,16,1,4,354156,12672250,68367,17811403,8000653,16670035,12763001,68339865
0.56,36.00,0.12,4.00,1.00,32.00,0.10,512,512,512,512,1,16,16,1,4,353527,12785245,68445,17822771,7974593,16670820,12771486,68446887
0.56,36.00,0.12,4.00,1.00,32.00,0.20,512,512,512,512,1,16,16,1,4,316200,11368966,60853,15890197,7083432,14847059,11356108,60922815
0.56,36.00,0.12,4.00,1.00,32.00,0.30,512,512,512,512,1,16,16,1,4,277733,9946496,53202,13850555,6196785,12999146,9898879,53222796
0.56,36.00,0.12,4.00,1.00,32.00,0.40,512,512,512,512,1,16,16,1,4,239313,8526817,45715,11874091,5310588,11150069,8481464,45628057
0.56,36.00,0.12,4.00,1.00,32.00,0.50,512,512,512,512,1,16,16,1,4,200727,7109144,38233,9887167,4453513,9280734,7076092,38045610
0.56,36.00,0.12,4.00,1.00,32.00,0.60,512,512,512,512,1,16,16,1,4,200500,7109109,38002,9889950,4431186,9286819,7055310,38010876
0.56,36.00,0.12,4.00,1.00,32.00,0.70,512,512,512,512,1,16,16,1,4,162892,5687627,30615,7911086,3567376,7426339,5652235,30438170
0.56,36.00,0.12,4.00,1.00,32.00,0.80,512,512,512,512,1,16,16,1,4,123864,4227068,22923,5957878,2653908,5558040,4261967,22805648
