LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,323759,16971854,155014,11871352,5316294,20777058,38894676,94310007
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,309252,16967703,46421,11868131,5360932,21385273,44128153,100065865
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,387416,22621901,61693,15885603,7079567,28022805,48887082,122946067
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,387352,22616971,61939,15841165,7085023,28631776,50624231,125248457
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,386073,22621397,61887,15844640,7095480,28931503,48703790,123644770
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,463425,28275369,76993,19803341,8854840,35550732,48973780,141998480
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,466955,28277534,77268,19787882,8870062,35555172,42965883,136000756
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,463998,28283276,77188,19800964,8861364,35538444,37553777,130579011
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,462920,28290895,77167,19769768,8887408,35582606,31920346,124991110
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,112000,1431100,7922,1976794,885863,2483704,5462873,12360256
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,111040,1426650,7820,1979569,887291,2637835,6459801,13510006
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,110855,1426198,7910,1985239,884471,2775433,7498323,14688429
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,110260,1426209,7841,1981664,885124,2912375,8470831,15794304
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,112060,1426309,7863,1976894,886644,2928495,8469581,15807846
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,150244,2846890,15490,3953531,1770635,4787881,9380853,22905524
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,149495,2846598,15611,3988917,1781765,4740040,9281178,22803604
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,149535,2846919,15481,3954643,1784950,4761536,9186048,22699112
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,149736,2847458,15522,3991352,1770034,4755157,9082965,22612224
