LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,0,4,4,210918,9800515,83247,18530864,5530820,178696217,19213258,232065839
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,0,4,4,154075,9835425,14734,14840510,4414870,149601936,15989430,194850980
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,0,4,4,153042,9838670,14642,14832981,4423058,149558718,15985024,194806135
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,0,4,4,121501,9817578,11172,11141167,3304476,120623932,12762019,157781845
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,0,4,4,120601,9822821,11231,11127275,3315298,120928099,12752641,158077966
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,0,4,4,117313,9820296,11001,11136151,3317631,101762123,10721813,136886328
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,0,4,4,82139,9805217,7430,7429758,2214828,72664169,7500850,99704391
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,0,4,4,82597,9803269,7530,7402555,2215718,72691295,7509699,99712663
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,0,4,4,45404,9728742,3630,3720179,1105352,6400471,3251942,24255720
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,0,4,4,46425,9779864,3571,3735180,1109603,6384020,3252212,24310875
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,0,4,4,42373,2449810,3780,3721171,1106961,12409525,2475671,22209291
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,0,4,4,30062,2458981,1910,1850687,552827,2621489,2127985,9643941
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,0,4,4,27243,2452762,1870,1854586,553848,2625249,2127764,9643322
