LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total,dataset_name
0.73,48.00,0.98,32.00,0.49,16.00,0.0005097,4008,4008,4008,1,1,1,1,1,4,38164,50955,65276,49166,27442,2375489,131774,2738266,poli
0.62,40.00,0.99,32.00,0.25,8.00,0.0012174,2028,2028,2028,1,2,1,1,1,4,8671,17161,250,24673,13851,617665,37304,719575,S40PI_n1
0.74,48.00,0.98,32.00,0.49,16.00,0.0006118,4028,4028,4028,1,1,1,1,1,4,11832,27152,290,24823,13701,1208517,66107,1352422,S80PI_n1
0.73,48.00,0.98,32.00,0.49,16.00,0.0018335,4000,4000,4000,1,1,1,1,1,4,10041,27494,250,24452,14092,1199285,66247,1341861,ACTIVSg2000
0.44,28.00,0.59,19.00,0.29,9.00,0.0049285,2410,2410,2410,1,1,1,1,1,4,160517,19132,250,24672,13942,748118,41924,1008555,ex10
0.72,46.00,0.95,31.00,0.48,15.00,0.0075494,3909,3909,3909,1,1,1,1,1,4,11912,27123,370,241295,27073,2349196,128883,2785852,ex31
0.48,31.00,0.63,20.00,0.32,10.00,0.0113230,2597,2597,2597,1,1,1,1,1,4,12301,20581,390,49136,26542,1592137,89210,1790297,cavity10
0.59,38.00,0.78,25.00,0.39,12.00,0.0018438,3200,3200,3200,1,1,1,1,1,4,9991,23482,230,24683,13491,974422,53806,1100105,rdb3200l
0.56,36.00,0.75,24.00,0.37,12.00,0.0020837,3057,3057,3057,1,1,1,1,1,4,60778,33355,5431,1204192,680535,45056014,2609972,49650277,reorientation_7
0.73,48.00,0.98,32.00,0.49,16.00,0.0005490,4000,4000,4000,1,1,1,1,1,4,11432,27352,360,49175,26543,2381379,131764,2628005,tols4000
