LMM_usage_rate,LMM_usage_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
0.30,19.00,0.0,128,128,128,128,3,32,0,4,4,73509747,0,0,0,0,0,0,73509747
0.30,19.00,0.1,128,128,128,128,3,32,0,4,4,30925990,0,0,0,0,0,0,30925990
0.30,19.00,0.2,128,128,128,128,3,32,0,4,4,30934941,0,0,0,0,0,0,30934941
0.30,19.00,0.3,128,128,128,128,3,32,0,4,4,31005050,0,0,0,0,0,0,31005050
0.30,19.00,0.4,128,128,128,128,3,32,0,4,4,30849673,0,0,0,0,0,0,30849673
0.30,19.00,0.5,128,128,128,128,3,32,0,4,4,30982174,0,0,0,0,0,0,30982174
0.30,19.00,0.6,128,128,128,128,3,32,0,4,4,15502293,0,0,0,0,0,0,15502293
0.30,19.00,0.7,128,128,128,128,3,32,0,4,4,15266787,0,0,0,0,0,0,15266787
0.30,19.00,0.8,128,128,128,128,3,32,0,4,4,15382070,0,0,0,0,0,0,15382070
0.30,19.00,0.9,128,128,128,128,3,32,0,4,4,17797054,0,0,0,0,0,0,17797054
0.08,5.00,0.0,64,64,64,64,2,16,0,4,4,8398045,0,0,0,0,0,0,8398045
0.08,5.00,0.1,64,64,64,64,2,16,0,4,4,3931064,0,0,0,0,0,0,3931064
0.08,5.00,0.2,64,64,64,64,2,16,0,4,4,7779074,0,0,0,0,0,0,7779074
0.08,5.00,0.3,64,64,64,64,2,16,0,4,4,3891981,0,0,0,0,0,0,3891981
0.08,5.00,0.4,64,64,64,64,2,16,0,4,4,3801026,0,0,0,0,0,0,3801026
0.08,5.00,0.5,64,64,64,64,2,16,0,4,4,3879125,0,0,0,0,0,0,3879125
0.08,5.00,0.6,64,64,64,64,2,16,0,4,4,3866311,0,0,0,0,0,0,3866311
0.08,5.00,0.7,64,64,64,64,2,16,0,4,4,3881575,0,0,0,0,0,0,3881575
0.08,5.00,0.8,64,64,64,64,2,16,0,4,4,3773496,0,0,0,0,0,0,3773496
0.08,5.00,0.9,64,64,64,64,2,16,0,4,4,3763306,0,0,0,0,0,0,3763306
0.02,1.00,0.0,32,32,32,32,1,8,0,4,4,939558,0,0,0,0,0,0,939558
0.02,1.00,0.1,32,32,32,32,1,8,0,4,4,970021,0,0,0,0,0,0,970021
0.02,1.00,0.2,32,32,32,32,1,8,0,4,4,971653,0,0,0,0,0,0,971653
0.02,1.00,0.3,32,32,32,32,1,8,0,4,4,975518,0,0,0,0,0,0,975518
0.02,1.00,0.4,32,32,32,32,1,8,0,4,4,968080,0,0,0,0,0,0,968080
0.02,1.00,0.5,32,32,32,32,1,8,0,4,4,969514,0,0,0,0,0,0,969514
0.02,1.00,0.6,32,32,32,32,1,8,0,4,4,956428,0,0,0,0,0,0,956428
0.02,1.00,0.7,32,32,32,32,1,8,0,4,4,968372,0,0,0,0,0,0,968372
0.02,1.00,0.8,32,32,32,32,1,8,0,4,4,971708,0,0,0,0,0,0,971708
0.02,1.00,0.9,32,32,32,32,1,8,0,4,4,968456,0,0,0,0,0,0,968456
