LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,0,1,4,496490,5760095,136641,19785676,8867767,698401404,77106897,810554970
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,0,1,4,386140,5785341,56475,15837098,7078120,582198692,64138321,675480187
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,0,1,4,386716,5782645,56125,15833682,7071644,582226934,64169995,675527741
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,0,1,4,304180,5760531,42576,11869253,5312133,466909244,51152733,541350650
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,0,1,4,306323,5756472,42605,11873881,5304083,466809620,51164647,541257631
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,0,1,4,290780,5759432,42474,11866373,5328941,390896121,43020751,457204872
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,0,1,4,200422,5730360,28761,7909804,3544675,274692148,30057052,322163222
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,0,1,4,199649,5729369,28991,7925000,3531024,274655330,30067817,322137180
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,0,1,4,100618,5635971,15363,3955445,1772690,6921452,13011199,31412738
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,0,1,4,101028,5687522,15322,3956651,1771379,6920457,13042808,31495167
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,0,1,4,95561,1436615,14181,3964035,1773330,45607040,9911022,62801784
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,0,1,4,55225,1432545,7320,1975305,886391,2888672,8515097,15760555
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,0,1,4,55233,1432949,7340,1975630,890160,2887537,8513756,15762605
1.00,65.00,1.00,32.00,1.00,32.00,0.30,512,512,512,512,8,16,0,1,4,50774,1432856,7430,1975491,886261,2594234,6486211,13433257
1.00,65.00,1.00,32.00,1.00,32.00,0.40,512,512,512,512,8,16,0,1,4,51538,1434215,7410,1985842,887330,2738470,7469159,14573964
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,0,1,4,51437,1432847,7391,1979081,886261,2592593,6486138,13435748
1.00,65.00,1.00,32.00,1.00,32.00,0.60,512,512,512,512,8,16,0,1,4,51674,1433847,7350,1978983,886611,2299733,4436502,11094700
1.00,65.00,1.00,32.00,1.00,32.00,0.70,512,512,512,512,8,16,0,1,4,51942,1433026,7341,2074152,881309,2300395,4435354,11183519
1.00,65.00,1.00,32.00,1.00,32.00,0.80,512,512,512,512,8,16,0,1,4,50951,1427645,7441,1978149,887516,2004142,2479576,8835420
1.00,65.00,1.00,32.00,1.00,32.00,0.90,512,512,512,512,8,16,0,1,4,50925,1439069,7430,1978121,886821,2020575,2479442,8862383
0.66,43.00,0.31,10.00,1.00,32.00,0.00,256,256,256,256,5,32,0,1,4,27883,362816,3680,1014723,442144,903154,1479211,4233611
0.66,43.00,0.31,10.00,1.00,32.00,0.10,256,256,256,256,5,32,0,1,4,28543,365465,3600,988634,442954,830755,1238485,3898436
0.66,43.00,0.31,10.00,1.00,32.00,0.20,256,256,256,256,5,32,0,1,4,28243,365557,3670,986990,443964,837376,1234617,3900417
0.66,43.00,0.31,10.00,1.00,32.00,0.30,256,256,256,256,5,32,0,1,4,27263,365156,3660,995973,443017,754786,975488,3565343
0.66,43.00,0.31,10.00,1.00,32.00,0.40,256,256,256,256,5,32,0,1,4,27602,365889,3670,1000590,440096,753636,968419,3559902
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,0,1,4,27512,365123,3840,997062,442968,753120,970328,3559953
0.66,43.00,0.31,10.00,1.00,32.00,0.60,256,256,256,256,5,32,0,1,4,27603,365438,3670,1000016,443304,683763,697544,3221338
0.66,43.00,0.31,10.00,1.00,32.00,0.70,256,256,256,256,5,32,0,1,4,27143,365267,3740,986748,443887,682847,697645,3207277
0.66,43.00,0.31,10.00,1.00,32.00,0.80,256,256,256,256,5,32,0,1,4,29224,361978,3652,995130,442994,612914,453174,2899066
0.66,43.00,0.31,10.00,1.00,32.00,0.90,256,256,256,256,5,32,0,1,4,27825,365146,3600,994741,442696,613542,453406,2900956
0.55,35.00,0.09,3.00,1.00,32.00,0.00,128,128,128,128,3,64,0,1,4,15352,95371,2060,494000,221212,302101,298580,1428676
0.55,35.00,0.09,3.00,1.00,32.00,0.10,128,128,128,128,3,64,0,1,4,13112,95050,1750,493588,221754,272777,225154,1323185
0.55,35.00,0.09,3.00,1.00,32.00,0.20,128,128,128,128,3,64,0,1,4,13462,94978,1760,494049,227915,273396,225125,1330685
0.55,35.00,0.09,3.00,1.00,32.00,0.30,128,128,128,128,3,64,0,1,4,13651,95100,1760,494890,220842,273428,225264,1324935
0.55,35.00,0.09,3.00,1.00,32.00,0.40,128,128,128,128,3,64,0,1,4,16064,95148,1780,493888,221415,273305,225105,1326705
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,0,1,4,13270,95109,1771,493881,222144,273307,225723,1325205
0.55,35.00,0.09,3.00,1.00,32.00,0.60,128,128,128,128,3,64,0,1,4,13281,95051,1750,494279,221233,254226,176258,1256078
0.55,35.00,0.09,3.00,1.00,32.00,0.70,128,128,128,128,3,64,0,1,4,13281,95189,1741,493092,221972,256216,176377,1257868
0.55,35.00,0.09,3.00,1.00,32.00,0.80,128,128,128,128,3,64,0,1,4,13131,94220,1760,494020,222134,255065,176268,1256598
0.55,35.00,0.09,3.00,1.00,32.00,0.90,128,128,128,128,3,64,0,1,4,13091,95009,1770,493921,221844,256195,175928,1257758
0.27,17.00,0.03,1.00,0.50,16.00,0.00,64,64,64,64,2,64,0,1,4,8400,27633,890,247334,110543,147844,88220,630864
0.27,17.00,0.03,1.00,0.50,16.00,0.10,64,64,64,64,2,64,0,1,4,8330,27983,900,246704,110799,138417,63748,596881
0.27,17.00,0.03,1.00,0.50,16.00,0.20,64,64,64,64,2,64,0,1,4,8371,28484,880,247704,110181,146895,88109,630624
0.27,17.00,0.03,1.00,0.50,16.00,0.30,64,64,64,64,2,64,0,1,4,8681,28104,910,252075,110530,140266,63555,604121
0.27,17.00,0.03,1.00,0.50,16.00,0.40,64,64,64,64,2,64,0,1,4,8220,28183,900,247324,110343,140213,63498,598681
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,0,1,4,8611,28033,890,247064,110644,140881,68459,604582
0.27,17.00,0.03,1.00,0.50,16.00,0.60,64,64,64,64,2,64,0,1,4,8351,28213,890,246606,110823,139862,63386,598131
0.27,17.00,0.03,1.00,0.50,16.00,0.70,64,64,64,64,2,64,0,1,4,8560,28173,860,246795,110713,148503,63828,607432
0.27,17.00,0.03,1.00,0.50,16.00,0.80,64,64,64,64,2,64,0,1,4,8250,27933,900,247214,110712,140034,63698,598741
0.27,17.00,0.03,1.00,0.50,16.00,0.90,64,64,64,64,2,64,0,1,4,8393,28112,890,247206,110428,139647,63795,598471
0.07,4.00,0.01,0.00,0.12,4.00,0.00,32,32,32,32,1,32,0,1,4,5940,11211,470,123662,55358,100128,32104,328873
0.07,4.00,0.01,0.00,0.12,4.00,0.10,32,32,32,32,1,32,0,1,4,5870,11491,460,123652,55345,99151,32094,328063
0.07,4.00,0.01,0.00,0.12,4.00,0.20,32,32,32,32,1,32,0,1,4,5990,11551,480,124462,54357,99429,32254,328523
0.07,4.00,0.01,0.00,0.12,4.00,0.30,32,32,32,32,1,32,0,1,4,5990,11641,460,123562,55348,99988,32184,329173
0.07,4.00,0.01,0.00,0.12,4.00,0.40,32,32,32,32,1,32,0,1,4,5990,11441,460,123733,55297,99218,32104,328243
