LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,8,1,4,1435724,100861955,341368,71141470,31988030,113819012,89159165,408746724
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,8,1,4,1330336,96315170,261160,67196711,30190197,107572465,84298985,387165024
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,8,1,4,1177526,84794535,230547,59283282,26645490,94866191,74408945,341406516
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,8,1,4,1095824,79346073,215079,55312773,24868811,88800954,68862056,318501570
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,8,1,4,940027,67833094,184302,47421038,21306651,76080847,59360122,273126081
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,786671,56553321,153620,39509120,17759876,63750314,49477935,227990857
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,8,1,4,630070,45233031,123001,31626085,14214396,50732615,39586602,182145800
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,8,1,4,552289,39572565,107658,27662773,12440303,44371157,34057749,158764494
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,8,1,4,398182,28008795,76926,19751389,9104634,31613914,24765280,113719120
1.00,65.00,1.00,32.00,1.00,32.00,0.85,1024,1024,1024,1024,4,8,8,1,4,319640,22609960,61595,15806715,7104648,25310146,19833673,91046377
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,8,1,4,242632,16964246,46184,11850811,5330475,18988492,14881448,68304288
1.00,65.00,1.00,32.00,1.00,32.00,0.95,1024,1024,1024,1024,4,8,8,1,4,164784,11309025,30816,7899588,3555273,12713580,9888731,45561797
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,16,1,4,358970,12672279,65486,17790546,7986224,16694840,12742333,68310678
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,16,1,4,354478,12785992,65486,17794885,7980804,16690864,12952152,68624661
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,16,1,4,315180,11380248,58133,15810339,7092745,14840247,11361366,60858258
1.00,65.00,1.00,32.00,1.00,32.00,0.30,512,512,512,512,8,16,16,1,4,277164,9946302,50905,13833795,6213143,13019549,9889932,53230790
1.00,65.00,1.00,32.00,1.00,32.00,0.40,512,512,512,512,8,16,16,1,4,238118,8527638,43768,11866498,5319181,11146706,8479625,45621534
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,200057,7107668,36556,9881052,4433473,9304893,7063910,38027609
1.00,65.00,1.00,32.00,1.00,32.00,0.60,512,512,512,512,8,16,16,1,4,201136,7105930,36336,9888395,4441453,9307035,7039813,38020098
1.00,65.00,1.00,32.00,1.00,32.00,0.70,512,512,512,512,8,16,16,1,4,161680,5685602,29204,7914188,3554855,7433533,5659253,30438315
1.00,65.00,1.00,32.00,1.00,32.00,0.80,512,512,512,512,8,16,16,1,4,124013,4225408,22084,5942716,2659122,5563817,4238523,22775683
1.00,65.00,1.00,32.00,1.00,32.00,0.85,512,512,512,512,8,16,16,1,4,85370,2845225,14704,3956793,1773593,3716569,2853272,15245526
1.00,65.00,1.00,32.00,1.00,32.00,0.90,512,512,512,512,8,16,16,1,4,86049,2845322,14690,3948767,1775604,3713916,2839215,15223563
1.00,65.00,1.00,32.00,1.00,32.00,0.95,512,512,512,512,8,16,16,1,4,47975,1424979,7420,1996503,887267,1860447,1407347,7631938
0.66,43.00,0.31,10.00,1.00,32.00,0.00,256,256,256,256,5,32,32,1,4,101800,1779624,17860,4940630,2226199,3056128,2247834,14370075
0.66,43.00,0.31,10.00,1.00,32.00,0.10,256,256,256,256,5,32,32,1,4,101769,1828374,17862,4938615,2221388,3061471,2248971,14418450
0.66,43.00,0.31,10.00,1.00,32.00,0.20,256,256,256,256,5,32,32,1,4,82107,1437636,14472,3952061,1781644,2440214,1799345,11507479
0.66,43.00,0.31,10.00,1.00,32.00,0.30,256,256,256,256,5,32,32,1,4,81577,1439380,14223,3949850,1773650,2447145,1816836,11522661
0.66,43.00,0.31,10.00,1.00,32.00,0.40,256,256,256,256,5,32,32,1,4,62947,1080273,10942,2961412,1340800,1834850,1349159,8640383
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,61777,1080863,10553,2961641,1331037,1859413,1565152,8870436
0.66,43.00,0.31,10.00,1.00,32.00,0.60,256,256,256,256,5,32,32,1,4,60767,1079654,10621,2962034,1330125,1849693,1347259,8640153
0.66,43.00,0.31,10.00,1.00,32.00,0.70,256,256,256,256,5,32,32,1,4,42444,721225,7081,1974605,887118,1224301,905882,5762656
0.66,43.00,0.31,10.00,1.00,32.00,0.80,256,256,256,256,5,32,32,1,4,41995,714564,7090,1984527,887308,1220609,898882,5754975
0.66,43.00,0.31,10.00,1.00,32.00,0.85,256,256,256,256,5,32,32,1,4,22442,362767,3540,987583,443906,610962,450047,2881247
0.66,43.00,0.31,10.00,1.00,32.00,0.90,256,256,256,256,5,32,32,1,4,23022,363068,3590,987663,452025,611684,449947,2890999
0.66,43.00,0.31,10.00,1.00,32.00,0.95,256,256,256,256,5,32,32,1,4,23061,363140,3510,987190,443536,612533,449658,2882628
0.55,35.00,0.09,3.00,1.00,32.00,0.00,128,128,128,128,3,64,64,1,4,34081,275128,5271,1482144,672100,759077,524466,3752267
0.55,35.00,0.09,3.00,1.00,32.00,0.10,128,128,128,128,3,64,64,1,4,32073,276619,5260,1481512,671489,760330,524985,3752268
0.55,35.00,0.09,3.00,1.00,32.00,0.20,128,128,128,128,3,64,64,1,4,22612,186150,3470,987283,444125,506452,353016,2503108
0.55,35.00,0.09,3.00,1.00,32.00,0.30,128,128,128,128,3,64,64,1,4,22322,185861,3530,987210,443715,507944,349896,2500478
0.55,35.00,0.09,3.00,1.00,32.00,0.40,128,128,128,128,3,64,64,1,4,22591,186060,3550,992595,443043,508255,350195,2506289
