LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,8,1,4,481586,5742808,134385,19774198,8891749,698644259,77036038,810705023
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,8,1,4,373728,5765953,55320,15802761,7102597,582360240,64007887,675468486
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,8,1,4,372010,5766155,55585,15816685,7099055,582361949,63989176,675460615
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,8,1,4,292474,5738988,41815,11850140,5329291,466741377,51057258,541051343
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,8,1,4,292309,5739936,41663,11856569,5334777,466755501,51053370,541074125
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,284142,5744882,41626,11859954,5333591,391032959,43017519,457314673
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,8,1,4,194897,5712701,27884,7902018,3560353,274645609,29964826,322008288
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,8,1,4,194355,5711798,27981,7907502,3649703,274674742,29960289,322126370
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,8,1,4,101951,5617284,14360,3952292,1776193,6916827,12965632,31344539
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,8,1,4,101485,5674068,14381,3949171,1776461,6929292,12952486,31397344
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,16,1,4,94970,1432998,13960,3949477,1776154,45615809,9893739,62777107
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,16,1,4,54976,1429083,7131,1982477,884026,2895566,8502454,15755713
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,16,1,4,54765,1429168,7130,1986557,887592,2896518,8501114,15762844
1.00,65.00,1.00,32.00,1.00,32.00,0.30,512,512,512,512,8,16,16,1,4,51677,1428707,7160,1975024,887630,2597903,6457018,13405119
1.00,65.00,1.00,32.00,1.00,32.00,0.40,512,512,512,512,8,16,16,1,4,51635,1428917,7250,1974402,887867,2743810,7518213,14612094
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,52195,1429447,7092,1974542,888553,2597780,6463221,13412830
1.00,65.00,1.00,32.00,1.00,32.00,0.60,512,512,512,512,8,16,16,1,4,52666,1427879,7122,1974853,887348,2329206,4473342,11152416
1.00,65.00,1.00,32.00,1.00,32.00,0.70,512,512,512,512,8,16,16,1,4,51966,1429000,7140,1974508,887745,2318360,4485727,11154446
1.00,65.00,1.00,32.00,1.00,32.00,0.80,512,512,512,512,8,16,16,1,4,50594,1415436,7141,1999961,886551,2007414,2467528,8834625
1.00,65.00,1.00,32.00,1.00,32.00,0.90,512,512,512,512,8,16,16,1,4,50675,1428257,7171,2000731,886431,2010727,2467746,8851738
0.66,43.00,0.31,10.00,1.00,32.00,0.00,256,256,256,256,5,32,32,1,4,26761,361100,3510,1000382,444107,900011,1473245,4209116
0.66,43.00,0.31,10.00,1.00,32.00,0.10,256,256,256,256,5,32,32,1,4,27314,364778,3591,987050,444399,830055,1228046,3885233
0.66,43.00,0.31,10.00,1.00,32.00,0.20,256,256,256,256,5,32,32,1,4,27403,364717,3580,988024,443755,829868,1229446,3886793
0.66,43.00,0.31,10.00,1.00,32.00,0.30,256,256,256,256,5,32,32,1,4,26103,364283,3590,987333,443988,766143,985591,3577031
0.66,43.00,0.31,10.00,1.00,32.00,0.40,256,256,256,256,5,32,32,1,4,27311,363813,3580,987486,444327,753308,984434,3564259
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,26764,364181,3450,987491,443421,765601,985103,3576011
0.66,43.00,0.31,10.00,1.00,32.00,0.60,256,256,256,256,5,32,32,1,4,25942,363499,3750,986681,444297,682410,694313,3200892
0.66,43.00,0.31,10.00,1.00,32.00,0.70,256,256,256,256,5,32,32,1,4,26323,363868,3590,988031,465048,684250,694205,3225315
0.66,43.00,0.31,10.00,1.00,32.00,0.80,256,256,256,256,5,32,32,1,4,24943,360695,3430,994610,443315,613529,450678,2891200
0.66,43.00,0.31,10.00,1.00,32.00,0.90,256,256,256,256,5,32,32,1,4,23941,363850,3450,987576,444442,613379,450971,2887609
0.55,35.00,0.09,3.00,1.00,32.00,0.00,128,128,128,128,3,64,64,1,4,14122,94620,1800,501322,221152,302142,297160,1432318
0.55,35.00,0.09,3.00,1.00,32.00,0.10,128,128,128,128,3,64,64,1,4,13280,94700,1750,499292,221632,273310,224513,1328477
0.55,35.00,0.09,3.00,1.00,32.00,0.20,128,128,128,128,3,64,64,1,4,12971,94751,1740,493529,221884,273587,224165,1322627
0.55,35.00,0.09,3.00,1.00,32.00,0.30,128,128,128,128,3,64,64,1,4,12843,94819,1720,493350,222106,273426,224504,1322768
0.55,35.00,0.09,3.00,1.00,32.00,0.40,128,128,128,128,3,64,64,1,4,12902,94889,1710,493593,221753,273528,224322,1322697
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,13263,94798,1790,493520,222194,273157,224475,1323197
0.55,35.00,0.09,3.00,1.00,32.00,0.60,128,128,128,128,3,64,64,1,4,13062,94980,1740,494110,221762,255386,175410,1256450
0.55,35.00,0.09,3.00,1.00,32.00,0.70,128,128,128,128,3,64,64,1,4,12942,94700,1720,493943,221542,256137,175397,1256381
0.55,35.00,0.09,3.00,1.00,32.00,0.80,128,128,128,128,3,64,64,1,4,13032,93829,1720,493144,221403,255955,175917,1255000
0.55,35.00,0.09,3.00,1.00,32.00,0.90,128,128,128,128,3,64,64,1,4,12973,94649,1750,493052,221863,255155,175618,1255060
0.27,17.00,0.03,1.00,0.50,16.00,0.00,64,64,64,64,2,64,64,1,4,8252,27573,890,247085,110771,147485,87770,629826
0.27,17.00,0.03,1.00,0.50,16.00,0.10,64,64,64,64,2,64,64,1,4,8391,28063,870,246856,111561,137884,63487,597112
0.27,17.00,0.03,1.00,0.50,16.00,0.20,64,64,64,64,2,64,64,1,4,8360,28283,890,247154,111133,147064,87741,630625
0.27,17.00,0.03,1.00,0.50,16.00,0.30,64,64,64,64,2,64,64,1,4,8350,28322,860,246477,117242,139735,63206,604192
