LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.00,1024,1024,1024,1024,4,8,8,1,4,419664,28077634,137079,19771896,8890444,35502936,77176243,169975896
1.00,65.00,1.00,32.00,1.00,32.00,0.10,1024,1024,1024,1024,4,8,8,1,4,321263,22669337,57273,15810994,7101382,28584583,64072799,138617631
1.00,65.00,1.00,32.00,1.00,32.00,0.20,1024,1024,1024,1024,4,8,8,1,4,322374,22669059,57494,15819116,7105365,28574144,64082190,138629742
1.00,65.00,1.00,32.00,1.00,32.00,0.30,1024,1024,1024,1024,4,8,8,1,4,244580,17002306,43118,11856533,5333387,21673801,51100369,107254094
1.00,65.00,1.00,32.00,1.00,32.00,0.40,1024,1024,1024,1024,4,8,8,1,4,243744,17004437,43085,11854383,5325391,21672447,51100556,107244043
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,243655,17007296,42934,11862532,5331866,21097392,43068558,98654233
1.00,65.00,1.00,32.00,1.00,32.00,0.60,1024,1024,1024,1024,4,8,8,1,4,165364,11339157,28754,7906311,3552935,14154349,29983120,67129990
1.00,65.00,1.00,32.00,1.00,32.00,0.70,1024,1024,1024,1024,4,8,8,1,4,166175,11337301,28811,7899621,3560669,14151201,29988541,67132319
1.00,65.00,1.00,32.00,1.00,32.00,0.80,1024,1024,1024,1024,4,8,8,1,4,87531,5617488,14391,3952492,1776168,6921268,12953025,31322363
1.00,65.00,1.00,32.00,1.00,32.00,0.90,1024,1024,1024,1024,4,8,8,1,4,88499,5671445,14421,3956158,1789594,6921289,12953544,31394950
1.00,65.00,1.00,32.00,1.00,32.00,0.00,512,512,512,512,8,16,16,1,4,87547,2825877,14170,3952860,1775368,4743142,9902076,23301040
1.00,65.00,1.00,32.00,1.00,32.00,0.10,512,512,512,512,8,16,16,1,4,48062,1428360,7330,1974798,888508,2893487,8500249,15740794
1.00,65.00,1.00,32.00,1.00,32.00,0.20,512,512,512,512,8,16,16,1,4,48129,1428781,7330,1989296,887638,2889652,8501320,15752146
1.00,65.00,1.00,32.00,1.00,32.00,0.30,512,512,512,512,8,16,16,1,4,48055,1429124,7276,1978796,886742,2593413,6457332,13400738
1.00,65.00,1.00,32.00,1.00,32.00,0.40,512,512,512,512,8,16,16,1,4,48876,1428453,7173,1974698,888410,2741407,7519642,14608659
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,47665,1430193,7111,1975369,887971,2601773,6459276,13409358
1.00,65.00,1.00,32.00,1.00,32.00,0.60,512,512,512,512,8,16,16,1,4,48474,1429354,7160,1974841,891584,2302080,4472814,11126307
1.00,65.00,1.00,32.00,1.00,32.00,0.70,512,512,512,512,8,16,16,1,4,47372,1428923,7130,1974980,903772,2303284,4463016,11128477
1.00,65.00,1.00,32.00,1.00,32.00,0.80,512,512,512,512,8,16,16,1,4,47753,1415203,7431,1975161,887058,2005885,2467091,8805582
1.00,65.00,1.00,32.00,1.00,32.00,0.90,512,512,512,512,8,16,16,1,4,48014,1428652,7350,2012475,886791,2006063,2478753,8868098
0.66,43.00,0.31,10.00,1.00,32.00,0.00,256,256,256,256,5,32,32,1,4,27985,360978,3760,996030,443988,899846,1472359,4204946
0.66,43.00,0.31,10.00,1.00,32.00,0.10,256,256,256,256,5,32,32,1,4,26514,364525,3950,987879,444861,829662,1229243,3886634
0.66,43.00,0.31,10.00,1.00,32.00,0.20,256,256,256,256,5,32,32,1,4,26318,363384,3751,1006503,443351,830309,1229270,3902886
0.66,43.00,0.31,10.00,1.00,32.00,0.30,256,256,256,256,5,32,32,1,4,25904,373164,3770,987678,444571,753241,985514,3573842
0.66,43.00,0.31,10.00,1.00,32.00,0.40,256,256,256,256,5,32,32,1,4,26483,363479,3771,987461,444311,754489,982867,3562861
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25901,363656,3690,987445,443883,754018,987018,3565611
0.66,43.00,0.31,10.00,1.00,32.00,0.60,256,256,256,256,5,32,32,1,4,25322,363178,3710,995300,442904,685439,696592,3212445
0.66,43.00,0.31,10.00,1.00,32.00,0.70,256,256,256,256,5,32,32,1,4,25012,362637,3650,988001,456687,684688,695361,3216036
0.66,43.00,0.31,10.00,1.00,32.00,0.80,256,256,256,256,5,32,32,1,4,34663,359576,3470,987641,444014,612503,451726,2893593
