LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,260979,17023886,108298,11853552,5349217,20785007,39036475,94417414
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,243833,17010987,43144,11883015,5320780,21378897,44290795,100171451
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,322236,22690491,57297,15810594,7111455,28015938,48690456,122698467
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,327033,22733112,57502,15820888,7121825,28594566,50791406,125446332
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,322747,22682273,57475,15817000,7118764,28901695,48867975,123767929
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,405543,28350371,71762,19764941,8888626,35544096,49218487,142243826
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,399715,28346295,71774,19762559,8888805,35525364,43127718,136122230
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,398793,28347231,71854,19750198,8879909,35535354,37604757,130588096
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,398941,28354747,71565,19769355,8867448,35555299,32037677,125055032
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,47565,1430047,7520,1978315,886172,2448774,5484081,12282474
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,47565,1429747,7733,1993766,886754,2596227,6457860,13419652
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,47705,1430691,7820,1974473,887599,2743034,7516393,14607715
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,47903,1430880,7620,1974733,888542,2892534,8499891,15742103
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,50654,1430188,7561,1974973,899274,2890109,8500475,15753234
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,85940,2853795,15144,3952339,1776416,4753439,9414088,22851161
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,86798,2854346,15080,3950071,1775645,4768094,9316368,22766402
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,86751,2855046,15151,3952698,1778604,4748118,9425053,22861421
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,86430,2854910,14973,3956743,1789603,4747826,9117436,22567921
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,24680,363751,3930,987364,452384,752945,985986,3571040
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25290,364160,4130,997005,443243,753760,985452,3573040
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25871,364260,4050,987472,461437,829858,1228676,3901624
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,26472,364289,3910,986802,443256,840457,1228348,3893534
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25774,363878,4221,987832,444607,830044,1228197,3884553
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,26223,363896,4141,987332,444076,900983,1473215,4199866
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25903,364608,4031,987232,443726,912226,1471950,4209676
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25835,363627,3930,987162,444216,910945,1472652,4208367
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,24201,363608,4021,987362,443806,912555,1472483,4208036
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,14502,95551,1920,493702,221880,273300,224552,1325407
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,12812,95081,2030,493651,221661,273159,224493,1322887
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,13080,95071,1910,499331,221476,273176,224924,1328968
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,12931,95020,1930,493390,221933,272437,224886,1322527
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,12984,94979,1910,493740,222475,272206,224414,1322708
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,12944,94980,1900,493960,221771,302532,296761,1424848
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,13301,95081,1920,493760,238985,304402,297001,1444450
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,13050,95010,1930,493373,222022,302561,296822,1424768
0.55,35.00,0.09,3.00,1.00,32.00,0.50,128,128,128,128,3,64,64,1,4,13141,95338,1900,493712,221964,302991,297292,1426338
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8551,28353,940,246585,111043,149544,63377,608393
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8170,28163,960,247126,110802,128613,63317,587151
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8100,28234,980,246546,111101,130174,63216,588351
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8212,28242,980,246695,110762,129424,63216,587531
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8330,28194,970,246986,111391,127353,63277,586501
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8331,28272,980,246968,110961,137304,87818,620634
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8190,28052,950,246525,111402,137715,87660,620494
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8453,28253,971,246614,116263,137773,87688,626015
0.27,17.00,0.03,1.00,0.50,16.00,0.50,64,64,64,64,2,64,64,1,4,8391,28023,980,247006,110743,137093,87518,619754
0.07,4.00,0.01,0.00,0.12,4.00,0.50,32,32,32,32,1,32,32,1,4,6001,11581,490,123502,56696,98040,31974,328284
