LMM_usage_rate,LMM_usage_kbyte,LMM_usage_A_rate,LMM_usage_A_kbyte,LMM_usage_B_rate,LMM_usage_B_kbyte,sparse_rate,A_row_size,A_col_size,B_row_size,B_col_size,A_col_blk,B_col_blk,C_col_blk,NCHIP,W,ARM,DRAIN,CONF,REGV,RANGE,LOAD,EXEC,total
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,327215,16967043,156150,11877971,5322263,20777485,38913493,94341620
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,308230,16970834,46413,11882342,5360341,21402072,46940330,102910562
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,328043,22629775,61685,15831879,7084711,28029130,55869941,129835164
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,322015,22625993,61695,15834170,7078522,28639734,63923515,138485644
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,322737,22623245,61688,15836410,7081434,28938697,67894328,142758539
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,400661,28297737,77066,19793664,8854558,35640282,76939757,170003725
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,439225,28285048,77234,19797259,8872883,35553037,76909752,169934438
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,399840,28276995,76989,19787981,8855939,35549596,76917251,169864591
1.00,65.00,1.00,32.00,1.00,32.00,0.50,1024,1024,1024,1024,4,8,8,1,4,401135,28293052,77134,19798160,8853760,35590214,76912002,169925457
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,48625,1425708,7700,1976816,885942,2490090,5462219,12297100
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,50984,1426040,7471,1980509,885220,2626305,6463710,13440239
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,48965,1424967,7630,1978040,885162,2783600,7498949,14627313
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,48994,1424228,7521,1981156,885780,2924204,8468935,15740818
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,49275,1425809,7501,1979647,884019,2922845,8474633,15743729
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,86639,2846498,14800,3954382,1780274,4762997,9878178,23323768
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,86641,2846640,15240,3961542,1769239,4761540,9892446,23333288
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,86508,2847599,14871,3972670,1769537,4759168,9880835,23331188
1.00,65.00,1.00,32.00,1.00,32.00,0.50,512,512,512,512,8,16,16,1,4,87910,2846245,14822,3955833,1773773,4768605,9890621,23337809
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25572,362752,3530,988443,443550,773403,981402,3578652
0.66,43.00,0.31,10.00,1.00,32.00,0.50,256,256,256,256,5,32,32,1,4,25952,362881,3680,987921,443802,773001,981695,3578932
